relative_path,area,provenance,extension,filename,basename,size_bytes,cluster,inferred_function,source_hint
Anti\VALUTA\DLL\OTHERTSK\MAKEDLL\Othertsk.dll,VALUTA,original,.dll,Othertsk.dll,Othertsk,1348608,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\OTP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,2591232,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\OTP\MAKEDLL\otp.dll,VALUTA,original,.dll,otp.dll,otp,2583040,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\OTPLOG\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,758784,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\OTPLOG\MAKEDLL\otplog.dll,VALUTA,original,.dll,otplog.dll,otplog,756736,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PAUSDISP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,707584,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PAUSDISP\MAKEDDLL\PausDisp.dll,VALUTA,original,.dll,PausDisp.dll,PausDisp,705024,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PILLALL\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,839680,cash-stock,Pillanatnyi penztarallas,
Anti\VALUTA\DLL\PILLALL\MAKEDLL\PILLALL.dll,VALUTA,original,.dll,PILLALL.dll,PILLALL,836608,cash-stock,Pillanatnyi penztarallas,
Anti\VALUTA\DLL\PILLKESZ\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1154560,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PILLKESZ\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,389120,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PILLKESZ\GRAFIKON\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,865792,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PILLKESZ\MAKEDLL\PILLKESZ.dll,VALUTA,original,.dll,PILLKESZ.dll,PILLKESZ,1152512,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PROCEND\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,563712,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PROCEND\MAKEDLL\Procend.dll,VALUTA,original,.dll,Procend.dll,Procend,557056,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PROSBE\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1053184,auth-cashier,Penztaros beleptetes,
Anti\VALUTA\DLL\PROSBE\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,394240,auth-cashier,Penztaros beleptetes,
Anti\VALUTA\DLL\PROSBE\MAKEDLL\Prosbe.dll,VALUTA,original,.dll,Prosbe.dll,Prosbe,1050624,auth-cashier,Penztaros beleptetes,
Anti\VALUTA\DLL\PROSKI\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,653824,auth-cashier,Penztaros kileptetes,
Anti\VALUTA\DLL\PROSKI\exeproba\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,394240,auth-cashier,Penztaros kileptetes,
Anti\VALUTA\DLL\PROSKI\MAKEDLL\Proski.dll,VALUTA,original,.dll,Proski.dll,Proski,647168,auth-cashier,Penztaros kileptetes,
Anti\VALUTA\DLL\PROSTMK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,954880,auth-cashier,Penztaros es jelszo karbantartas,
Anti\VALUTA\DLL\PROSTMK\MAKEDLL\Prostmk.dll,VALUTA,original,.dll,Prostmk.dll,Prostmk,952320,auth-cashier,Penztaros es jelszo karbantartas,
Anti\VALUTA\DLL\PTARKESZ\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,681472,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PTARKESZ\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,389120,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PTARKESZ\MAKEDLL\AKTKESZ.dll,VALUTA,original,.dll,AKTKESZ.dll,AKTKESZ,678400,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PTARTMK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,945152,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\PTARTMK\MAKEDLL\ptartmk.dll,VALUTA,original,.dll,ptartmk.dll,ptartmk,942592,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRDEPUTY\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,719360,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRDEPUTY\MAKEDLL\QRGENER.dll,VALUTA,original,.dll,QRGENER.dll,QRGENER,717312,display,QR generalas vagy kijelzes,
Anti\VALUTA\DLL\QRDEPUTY\MINTA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,466432,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRDEPUTY\NAVMODI.EXE,VALUTA,original,.exe,NAVMODI.EXE,NAVMODI,686592,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRDEPUTY\ZAROTEST\NAVTEST.EXE,VALUTA,original,.exe,NAVTEST.EXE,NAVTEST,696832,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRDEPUTY\ZAROTEST\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,696832,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QRGENER\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,731648,display,QR generalas vagy kijelzes,
Anti\VALUTA\DLL\QRGENER\MAKEDLL\QRGENER.dll,VALUTA,original,.dll,QRGENER.dll,QRGENER,729600,display,QR generalas vagy kijelzes,
Anti\VALUTA\DLL\QRGENER\MINTA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,466432,display,QR generalas vagy kijelzes,
Anti\VALUTA\DLL\QUITFORM\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,815616,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\QUITFORM\MAKEDLL\QUITFORM.dll,VALUTA,original,.dll,QUITFORM.dll,QUITFORM,813056,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\REGEN\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,715776,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\REGEN\MAKEDLL\REGEN.dll,VALUTA,original,.dll,REGEN.dll,REGEN,719360,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\REGIZARO\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,808448,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\REGIZARO\MAKEDLL\REGIZARO.dll,VALUTA,original,.dll,REGIZARO.dll,REGIZARO,805888,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SCANNING\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,694272,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SCANNING\EXEPROBA\scannimg.exe,VALUTA,original,.exe,scannimg.exe,scannimg,694272,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SCANNING\MAKEDLL\SCANNING.dll,VALUTA,original,.dll,SCANNING.dll,SCANNING,691712,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SENDOKMANY\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,673792,legacy-dll,Legacy plugin vagy shared library,
